,count,mean,std,min,25%,50%,75%,max
Patient ID,705.0,353.0,203.6602563093742,1.0,177.0,353.0,529.0,705.0
Age,705.0,37.44113475177305,9.259040966514851,25.0,30.0,35.0,44.0,60.0
Irregular_Menstrual_Cycles,705.0,0.64822695035461,0.4778626117338552,0.0,0.0,1.0,1.0,1.0
Tubal_Issues_Risk,705.0,0.6184397163120567,0.48611441158193064,0.0,0.0,1.0,1.0,1.0
Chronic_Pelvic_Pain,705.0,0.5943262411347517,0.491370568370749,0.0,0.0,1.0,1.0,1.0
Uterine_Issues_Risk,705.0,0.5957446808510638,0.4910957629178849,0.0,0.0,1.0,1.0,1.0
History_Pelvic_Infections,705.0,0.6652482269503546,0.4722386566210153,0.0,0.0,1.0,1.0,1.0
Hormonal_Symptoms,705.0,0.7205673758865249,0.4490390197563022,0.0,0.0,1.0,1.0,1.0
Early_Menopause_Risk,705.0,0.6411347517730497,0.48000812640875123,0.0,0.0,1.0,1.0,1.0
Autoimmune_History,705.0,0.5815602836879432,0.49365330423690096,0.0,0.0,1.0,1.0,1.0
Reproductive_Surgery_History,705.0,0.6269503546099291,0.4839584987349054,0.0,0.0,1.0,1.0,1.0
Unexplained_Difficulty_Conceiving,705.0,0.5219858156028369,0.4998710343027296,0.0,0.0,1.0,1.0,1.0
Infertility_Prediction,705.0,0.8212765957446808,0.3833925472164552,0.0,1.0,1.0,1.0,1.0
