,importance
"Do you feel comfortable discussing mental health [yes , at all the community]",0.09564667910830166
Thought of harming myself has occurred to me,0.08525914345575754
I have been anxious or worried for no good reason,0.06294306182735274
I have been so unhappy that I have been crying,0.0549872744475716
"Do you feel comfortable discussing mental health [yes, with my physician]",0.05160030082257141
Things have been getting on top of me,0.0508081081135173
Have you experienced any cultural stigma or judgment surrounding postpartum depression within your community,0.049828908972380806
Are you aware of the symptoms and risk factors associated with postpartum depression,0.04390025803286349
"Do you feel comfortable discussing mental health [yes , with my family]",0.03813448961826611
I have blamed myself unnecessarily when things went wrong,0.027991215525869875
"Do you feel comfortable discussing mental health [yes , with my husband]",0.027552683208414773
The current pregnancy was,0.027372703887435484
I have been so unhappy that I have had difficulty sleeping,0.024515251237002832
I have felt scared or panicky for no very good reason,0.023623405996499768
Smoke Shish,0.022959955907900606
Have you received any support or treatment for postpartum depression,0.02075951181086623
The nature of baby's feeding,0.020407095834631767
Number of miscarriges,0.020361997611316907
Baby had feeding difficluties,0.018289976175774797
family problems?,0.017121490324663445
I have looked forward with enjoyment to things,0.015892948222982296
I have felt sad or miserable,0.015428015629647521
I have been able to laugh and see the funny side of things,0.013344597571867421
got COVID-19 vaccine?,0.012283072872575828
comorbidities,0.011918218502860161
Number of children who died,0.0110763825274258
Do you have access to healthcare services,0.010478019019982404
Interpregnancy space,0.0099555614419429
What is the household income,0.009623400117410391
Residency,0.009448747439358777
Number of children alive,0.009043610648398225
Postnatal problems?,0.008591193378511277
Baby admitted in the NICU,0.007901071119340079
Natal problems?,0.007883911362798255
financial problems?,0.007629444912834743
Premature labour,0.007544398771321959
Level of education,0.006142090384668255
Age (y),0.005857467102809433
Marital status,0.00542232226793183
problems with husband?,0.005181469613547705
Do you suffer from any disease or mental or psychiatric disorder (choose all that applies),0.004812265501481985
Type of the last delivery,0.004511094846484489
Smoke cigarattes,0.0036878308004068723
Pregnancy problem?,0.003599629584883239
got COVID-19?,0.0034159018377390143
Nationality,0.002993982706723508
Healty baby,0.002269839895106526
Baby age in months,0.0
Kgs gained during pregnancy,0.0
