mean_test_score,std_test_score,rank_test_score,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth
0.8662244897959184,0.027246021770371092,1,300,8,4,log2,
0.8656760204081632,0.031206439860969996,2,400,4,2,log2,6
0.8655918367346939,0.027664281555268726,3,300,8,2,log2,10
0.865,0.021626589025405804,4,400,6,2,sqrt,8
0.8648316326530612,0.02636407626655235,5,500,2,1,log2,6
0.8643571428571428,0.021027375257128045,6,500,4,2,sqrt,8
0.8641505102040817,0.024947135185465527,7,200,2,1,sqrt,12
0.8632066326530612,0.02696768557331486,8,400,8,3,log2,
0.8614362244897957,0.025393649038592498,9,300,4,1,log2,8
0.8611938775510206,0.0232708838529565,10,400,4,1,sqrt,12
0.8609285714285715,0.02607216915558235,11,200,4,1,log2,
0.7665140306122449,0.05561850326375092,12,500,6,4,,
0.7522678571428572,0.05779085407833216,13,400,8,2,,10
0.7513431122448979,0.04996713628691479,14,400,8,1,,8
0.7507729591836735,0.05773703409715379,15,400,8,2,,8
0.7485548469387753,0.046823392318378065,16,500,6,2,,
