mean_test_score,std_test_score,rank_test_score,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_depth,param_classifier__learning_rate
0.8602691326530613,0.03377980957514951,1,100,4,4,2,0.01
0.8602691326530613,0.03377980957514951,1,100,6,2,2,0.01
0.8522321428571429,0.028630505614264782,3,100,6,1,2,0.05
0.8485688775510205,0.03969617614895171,4,100,8,3,3,0.01
0.8461147959183674,0.022432925033813063,5,300,6,2,2,0.03
0.8403647959183674,0.02996401423548822,6,200,8,4,4,0.01
0.8348214285714285,0.027493059544083903,7,150,4,3,4,0.03
0.8338265306122448,0.026366935257732604,8,300,4,3,5,0.2
0.8326913265306123,0.028422182171681493,9,300,2,2,5,0.05
0.8323520408163265,0.021669859945804965,10,300,2,2,5,0.2
0.8323214285714287,0.02736702544363663,11,200,8,3,5,0.05
0.8319668367346938,0.025775941682445434,12,250,6,3,5,0.1
0.8315663265306122,0.02494765892126575,13,300,2,2,5,0.03
0.8304668367346938,0.02268136704836906,14,250,4,1,4,0.01
0.8294744897959184,0.026099951448983943,15,250,8,4,3,0.03
0.8293596938775509,0.01991664873189521,16,300,6,2,4,0.03
0.8284795918367347,0.02173062054625409,17,250,4,1,2,0.1
0.8144311224489795,0.024951610812379333,18,250,2,4,3,0.1
