mean_test_score,std_test_score,rank_test_score,param_classifier__solver,param_classifier__C
0.8645561224489796,0.031882597950318316,1,liblinear,0.05
0.8624438775510204,0.027317031935347014,2,liblinear,0.01
0.8623035714285715,0.029502433119575257,3,lbfgs,0.01
0.8587219387755102,0.03601237155244459,4,liblinear,0.1
0.8580841836734695,0.036622885045822784,5,lbfgs,0.1
0.8333647959183674,0.043803182407745604,6,lbfgs,0.5
0.822048469387755,0.0473314305398777,7,liblinear,1.0
0.821923469387755,0.04729457087550543,8,lbfgs,1.0
0.8087168367346939,0.05014777114646203,9,lbfgs,2.0
0.8082117346938776,0.05042412165800472,10,liblinear,2.0
0.7924974489795918,0.05301929293928539,11,liblinear,5.0
0.7922525510204081,0.05310447217135375,12,lbfgs,5.0
