mean_test_score,std_test_score,rank_test_score,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth
0.8688801020408163,0.027485193232773517,1,200,4,8,sqrt,6
0.8683647959183673,0.02745835393941263,2,200,4,3,sqrt,10
0.8678596938775511,0.028531286031137592,3,400,4,8,sqrt,12
0.8673392857142858,0.031207150547822398,4,700,4,8,log2,10
0.8663545918367346,0.02657199039736456,5,300,8,1,sqrt,8
0.8644515306122449,0.0292550337495555,6,500,6,8,log2,12
0.862045918367347,0.030072276014180437,7,200,10,2,log2,10
0.8614413265306122,0.026386275843601436,8,200,8,1,log2,12
0.8600076530612244,0.031296764883782364,9,200,4,4,log2,10
0.8576530612244898,0.028476058257743016,10,200,6,5,,8
0.8568775510204082,0.027804300867126725,11,700,8,4,,10
0.8567525510204081,0.02671527740749854,12,700,8,3,,
0.8538622448979591,0.026301984631665117,13,500,6,2,,10
0.8525204081632654,0.021756514209728094,14,200,6,2,,
0.8525204081632654,0.021756514209728094,14,200,6,2,,12
0.8515382653061223,0.020490574358637555,16,200,8,1,,10
0.8513571428571428,0.024974103622121182,17,700,8,1,,8
0.8510102040816326,0.02130116155397446,18,200,4,2,,6
